Localidad	Población.total	Viviendas particulares habitadas	Población de 15 años o más analfabeta	Población de 15 años o más sin primaria completa	Viviendas particulares habitadas sin excusado	Viviendas particulares habitadas sin energía eléctrica	Viviendas particulares habitadas sin disponibilidad de agua entubada	Promedio de ocupantes por cuarto en viviendas particulares habitadas	Viviendas particulares habitadas con piso de tierra	Viviendas particulares habitadas que no disponen de refrigerador	Índice de marginación	Grado de marginación	"Índice de marginación escala 
0 a 100"	Lugar que ocupa en el contexto nacional	Lugar que ocupa en el contexto  estatal
El Puertecito	24	7	10	40	14.29	0	100	1.33	0	0	-0.6005	Alto	9.8851	 73 263	864
La Purísima	412	110	9.93	29.86	0	1.82	10.91	1.31	5.45	7.27	-0.9842	Medio	6.8383	 93 170	 1 438
La Purísima	36	11	25	57.14	63.64	0	100	1.09	0	0	-0.0222	Alto	14.4758	 45 341	359
Ramírez	267	79	4.02	22.92	0	0	0	0.91	0	5.06	-1.3334	Muy bajo	4.0669	 104 121	 1 886
Rancho Nuevo	9	3	0	57.14	0	100	100	1.29	33.33	100	0.8045	Muy alto	21.0386	 20 473	110
El Rincón	50	17	0	17.5	0	0	5.88	0.85	5.88	5.88	-1.389	Muy bajo	3.6251	 104 837	 1 933
Salinillas	21	5	0	15.38	0	0	20	1.75	20	0	-1.0566	Medio	6.2635	 96 280	 1 544
San Antonio de la Joya	9	4	11.11	77.78	50	0	100	0.9	0	0	-0.1231	Alto	13.675	 49 631	410
San Joaquín	129	40	4.12	26.32	0	0	0	0.78	2.5	0	-1.3474	Muy bajo	3.9552	 104 325	 1 898
San José de Belén	12	4	11.11	55.56	0	100	100	1.71	25	100	0.9849	Muy alto	22.4709	 16 995	91
San José de Belén	13	4	11.11	66.67	0	100	100	0.87	0	100	0.6926	Alto	20.1506	 22 920	129
San Juanito	11	5	0	54.55	0	0	0	0.85	0	0	-1.1181	Bajo	5.7755	 98 708	 1 631
San Julián	84	23	5	27.12	0	4.35	13.04	1.02	0	8.7	-1.1586	Bajo	5.4542	 100 091	 1 687
San Miguel	7	5	0	14.29	0	100	100	0.54	0	100	-0.0539	Alto	14.2242	 46 637	369
San Pedro	327	108	4.26	25.51	0	0	0	0.74	0.93	0	-1.3755	Muy bajo	3.7326	 104 712	 1 928
San Pedro de los Reyes	16	8	0	58.33	0	87.5	100	0.59	0	87.5	0.2419	Alto	16.5724	 35 477	251
San Rafael	44	19	13.51	35.14	0	0	0	0.85	10.53	0	-1.0685	Medio	6.1696	 96 802	 1 558
San Rafael de la Joya	33	11	30.77	75	45.45	0	100	1.18	0	18.18	0.2552	Alto	16.6779	 35 033	246
Santa Engracia	131	40	11.21	56.31	2.5	5.13	2.56	1.15	10.26	22.5	-0.6171	Alto	9.7533	 74 173	883
Santa Engracia	37	15	21.88	54.84	0	0	0	0.65	21.43	0	-0.7488	Alto	8.7073	 81 259	 1 053
Santa Isabel	11	6	0	50	16.67	100	100	0.92	16.67	100	0.6148	Alto	19.5326	 24 734	146
Santa Ana Viejo	325	78	2.98	23.32	11.54	0	1.28	1.03	0	1.28	-1.2612	Bajo	4.6395	 102 828	 1 812
Santa Rita	147	42	5.36	31.48	7.14	0	2.38	1.04	7.14	11.9	-1.0566	Medio	6.2641	 96 277	 1 543
El Toro	63	21	9.26	40.74	0	0	100	1.09	9.52	0	-0.6854	Alto	9.2107	 77 870	962
Las Tórtolas	19	6	0	46.15	0	0	100	1.19	16.67	16.67	-0.5701	Alto	10.1263	 71 684	821
Tronconal	48	15	2.56	20.51	0	0	0	0.84	6.67	13.33	-1.2984	Bajo	4.3446	 103 569	 1 852
La Unión	286	91	3.62	26.19	0	0	18.68	0.83	1.1	5.49	-1.2575	Bajo	4.6691	 102 747	 1 805
San Jorge	6	3	16.67	50	0	0	100	1	0	0	-0.5917	Alto	9.9547	 72 837	849
Rancho Grande	9	3	0	50	0	0	66.67	0.6	0	0	-1.0166	Medio	6.5815	 94 586	 1 476
El Naranjo	47	17	9.09	53.13	0	0	0	1.04	5.88	0	-0.9261	Medio	7.3	 90 480	 1 351
El Carmen	39	10	0	13.64	0	0	20	0.95	0	0	-1.4305	Muy bajo	3.2953	 105 285	 1 954
Santa Anita de la Joya	8	3	0	16.67	0	66.67	100	1.14	0	66.67	-0.2746	Alto	12.4723	 56 463	521
San Francisco (Los Arjona)	12	4	25	62.5	25	25	100	0.92	0	25	0.0656	Alto	15.173	 41 861	313
Los Mimbres	30	9	0	30	0	0	11.11	0.86	0	0	-1.3221	Bajo	4.1561	 103 960	 1 879
Las Majadas	11	4	0	22.22	0	0	25	1.57	0	0	-1.1601	Bajo	5.4419	 100 135	 1 693
Jesús María	13	3	12.5	50	0	0	66.67	2.17	0	33.33	-0.2295	Alto	12.8298	 54 374	479
El Canelo	32	8	0	9.09	0	0	12.5	1.19	0	12.5	-1.3583	Muy bajo	3.8685	 104 474	 1 912
Gómez Palacio	7	3	0	42.86	0	66.67	100	1	0	100	0.1477	Alto	15.8249	 38 780	286
Ramírez	10	3	0	14.29	0	0	0	0.83	0	0	-1.5214	Muy bajo	2.5743	 106 018	 1 995
Nuevo San Juan de Vaquerías	380	103	9.96	70.24	0	1.94	0	1.32	4.85	10.68	-0.6	Alto	9.8886	 73 245	861
La Barreta de la Joya	20	6	12.5	40	0	33.33	16.67	1.18	0	33.33	-0.5536	Alto	10.257	 70 778	809
Rancho Bonito	6	3	0	60	0	100	100	0.75	0	100	0.4552	Alto	18.2655	 28 946	182
Las Anacuas	13	5	12.5	37.5	0	0	80	0.87	20	0	-0.7292	Alto	8.8628	 80 194	 1 021
El Mogollón	9	3	0	28.57	0	0	66.67	0.6	0	0	-1.2283	Bajo	4.9008	 102 067	 1 777
San Pedro	27	7	0	33.33	0	0	0	1.13	0	14.29	-1.1647	Bajo	5.4059	 100 266	 1 698
San Rafael	51	17	5.26	35.14	5.88	0	29.41	0.86	11.76	17.65	-0.9245	Medio	7.313	 90 392	 1 346
San Pedro	24	7	11.11	35.29	0	0	71.43	1.26	0	0	-0.8274	Medio	8.0837	 85 474	 1 176
La Laguna	27	9	9.52	38.1	0	0	0	0.9	11.11	11.11	-1.0041	Medio	6.6807	 94 040	 1 453
Mata de Sandía	28	8	10	38.89	0	0	100	1.4	12.5	0	-0.5892	Alto	9.9746	 72 711	845
Las Anacuas	30	9	0	22.22	0	0	0	1	0	0	-1.3965	Muy bajo	3.5657	 104 941	 1 939
El Granjenal	16	7	7.69	61.54	0	0	0	0.5	0	0	-1.0486	Medio	6.3274	 95 960	 1 527
El Alto	12	3	0	42.86	0	0	66.67	2.4	33.33	0	-0.3652	Alto	11.7525	 60 896	608
La Corona	51	20	19.05	61.9	0	0	95	0.89	11.11	15	-0.323	Alto	12.0874	 58 785	558
Camarillo	17	6	7.69	50	0	0	66.67	0.81	16.67	16.67	-0.6472	Alto	9.5138	 75 823	922
San Joaquín	14	3	0	12.5	0	0	66.67	1.27	0	0	-1.204	Bajo	5.094	 101 396	 1 750
Las Compuertas	68	18	3.77	33.33	16.67	0	0	0.99	5.56	0	-1.107	Bajo	5.8638	 98 284	 1 606
Santa Gertrudis	7	3	0	0	33.33	0	100	0.58	0	0	-1.2148	Bajo	5.0084	 101 706	 1 763
San Gerardo	8	3	0	28.57	0	0	0	2	0	33.33	-0.8586	Medio	7.8356	 87 108	 1 238
San Ángel	17	4	7.14	42.86	0	50	50	1	0	50	-0.33	Alto	12.0321	 59 093	568
Del Maestro	53	15	0	10.53	0	0	0	0.6	0	0	-1.6214	Muy bajo	1.7804	 106 689	 2 028
Pedregal de las Brisas	16	6	0	18.18	0	0	0	0.76	0	0	-1.502	Muy bajo	2.728	 105 874	 1 989
El Dorado	25	7	0	23.53	0	0	0	0.96	0	0	-1.3945	Muy bajo	3.5814	 104 921	 1 938
El Barranco	25	7	6.25	18.75	0	0	100	1.92	28.57	0	-0.582	Alto	10.0315	 72 334	838
General Treviño	 1 019	353	4.79	34.73	1.98	0.28	1.42	0.72	0	2.83	-1.2546	Bajo	4.6917	 102 689	 1 803
San Javier	105	36	3.53	46.43	5.56	0	5.56	0.88	0	5.56	-1.0622	Medio	6.2197	 96 521	 1 550
Ventura Macías (La Curva)	9	3	0	33.33	0	0	66.67	0.6	0	0	-1.1813	Bajo	5.2743	 100 743	 1 716
Luis Donaldo Colosio	90	23	2.08	28.26	13.04	13.04	82.61	2.2	4.35	21.74	-0.3984	Alto	11.489	 62 582	640
General Zaragoza	 1 941	482	4.6	25.46	1.45	0.21	1.24	1.06	7.92	17.22	-1.1179	Bajo	5.777	 98 699	 1 630
El Ahuiche	10	5	0	88.89	20	20	100	0.67	40	100	0.6157	Alto	19.5399	 24 712	145
Las Avispas	22	5	8.33	25	40	40	20	1.69	20	100	0.2119	Alto	16.3338	 36 521	260
Casas Reales	19	4	7.69	90	25	25	100	1.46	100	100	1.4126	Muy alto	25.8666	 10 861	35
La Cieneguita	111	24	9.46	59.46	4.17	0	100	1.37	16.67	66.67	0.0557	Alto	15.0941	 42 219	317
Dulces Nombres (Santa Teresa)	39	12	7.14	46.43	8.33	8.33	16.67	1.11	0	91.67	-0.3293	Alto	12.0378	 59 059	567
La Encantada	199	48	8.47	26.09	12.5	10.42	6.38	1.66	18.75	75	-0.3309	Alto	12.0254	 59 139	569
Joya de San Diego	183	44	11.57	50.83	6.82	11.36	100	1.31	29.55	81.82	0.2468	Alto	16.6112	 35 282	249
La Laguna	69	15	2.7	22.22	6.67	20	6.67	1.86	13.33	53.33	-0.5287	Alto	10.4548	 69 495	782
La Lobera	17	5	20	28.57	20	20	0	1.06	0	60	-0.4641	Alto	10.9677	 66 025	713
El Melón de Arriba	22	5	7.14	92.86	100	40	20	1.69	100	100	1.7684	Muy alto	28.6907	 7 190	16
El Muerto	68	15	6.98	67.44	60	46.15	100	2	20	100	1.1112	Muy alto	23.4731	 14 886	63
El Refugio	209	43	5.34	56.59	6.98	0	6.98	1.38	23.26	48.84	-0.3672	Alto	11.7372	 60 985	610
El Rincón	30	6	19.23	73.08	83.33	16.67	50	1.58	100	100	1.5491	Muy alto	26.9497	 9 327	27
El Salitre	164	39	7.07	39.36	17.95	0	23.08	1.62	15.38	74.36	-0.2343	Alto	12.7921	 54 595	483
Rincón del Salto	12	3	9.09	40	0	0	0	0.75	0	0	-1.1756	Bajo	5.3191	 100 572	 1 711
San Francisco	206	59	9.55	41.94	5.08	5.08	72.88	1	10.17	61.02	-0.347	Alto	11.8976	 59 927	586
San Josecito	132	34	2.97	51.49	8.82	9.38	11.76	1.21	8.82	58.82	-0.4486	Alto	11.0908	 65 206	698
Siberia	216	46	7.69	28.57	0	4.35	19.57	1.64	2.17	71.74	-0.5235	Alto	10.4963	 69 232	776
Tepozanes	171	41	10.28	49.02	12.2	9.76	24.39	1.35	12.2	58.54	-0.2592	Alto	12.5943	 55 740	507
Los Toros	18	4	5.88	58.82	50	50	100	1.13	75	100	1.1196	Muy alto	23.5401	 14 768	62
La Laguna (La Laguna Seca)	15	5	0	10	0	0	0	1.36	40	80	-0.6586	Alto	9.4237	 76 416	936
Tinajitas	16	4	0	28.57	100	75	75	2	25	100	1.0052	Muy alto	22.6323	 16 647	86
Potreritos	31	7	25	40.91	42.86	0	14.29	1.94	14.29	100	0.3567	Alto	17.4836	 31 800	209
Tinajas (Los Tanques)	47	13	0	45.16	30.77	0	30.77	1.74	15.38	92.31	-0.0245	Alto	14.4578	 45 434	360
El Pame	12	4	12.5	50	0	0	100	1.33	75	100	0.5693	Alto	19.1711	 25 871	156
Mal Paso	27	6	5.56	16.67	0	100	16.67	1.59	16.67	100	0.1725	Alto	16.0217	 37 881	276
Las Hiedras	18	5	9.09	18.18	0	80	60	1.5	0	100	0.1079	Alto	15.5082	 40 254	297
San Antonio	17	5	14.29	92.86	0	40	60	1.06	0	100	0.5426	Alto	18.9597	 26 588	161
Los Difuntos	28	8	5.88	47.06	12.5	12.5	12.5	1.17	12.5	62.5	-0.3761	Alto	11.6659	 61 439	619
La Bajada del Carretón	53	13	13.79	44.83	15.38	7.69	30.77	1.56	15.38	61.54	-0.1328	Alto	13.5975	 50 063	414
Yerbabuena	9	3	25	62.5	66.67	100	100	1.13	33.33	100	1.5138	Muy alto	26.6699	 9 720	29
La Sabanilla	16	5	0	57.14	20	0	20	0.89	0	20	-0.7796	Alto	8.4626	 82 977	 1 108
El Baral	56	15	5.26	35.14	0	0	0	1.3	0	6.67	-1.0808	Bajo	6.0718	 97 290	 1 570
El Puertecito Baral	62	13	5.41	14.29	7.69	15.38	7.69	1.59	0	30.77	-0.895	Medio	7.5465	 88 955	 1 299
La Lámina	17	7	5.88	37.5	14.29	0	14.29	0.74	14.29	14.29	-0.9289	Medio	7.2773	 90 612	 1 354
La Loma	17	4	12.5	25	0	25	0	2.43	50	50	-0.0196	Alto	14.4962	 45 237	358
Loma Atravesada	32	6	5.88	76.47	83.33	50	0	2	16.67	100	1.0011	Muy alto	22.5995	 16 719	88
Los Chirriones	19	4	20	60	100	100	100	1.9	100	100	2.291	Muy alto	32.8393	 3 527	3
El Rosillo	64	11	7.5	55	100	36.36	100	1.83	90.91	100	1.6096	Muy alto	27.4299	 8 700	24
Puerto del Aire	81	16	13.73	59.18	18.75	53.85	100	1.62	18.75	100	0.809	Muy alto	21.0745	 20 380	109
Joya de San Lázaro	42	10	17.24	25.93	70	0	0	1.45	10	80	-0.061	Alto	14.1681	 46 944	375
Puerto Bajo	25	4	17.65	50	75	50	100	2.5	100	100	1.8717	Muy alto	29.5111	 6 309	14
San Isidro	11	3	27.27	72.73	0	33.33	100	0.85	100	100	1.226	Muy alto	24.3847	 13 226	55
La Joya de Alardín	247	54	4.11	35.29	11.11	3.7	7.41	1.52	1.85	29.63	-0.7703	Alto	8.537	 82 438	 1 096
Bajada del Mezquite	13	4	0	44.44	0	25	50	1.18	25	75	-0.1853	Alto	13.1807	 52 418	457
Buena Vista	69	13	8.11	40.54	46.15	76.92	92.31	1.82	46.15	100	1.0759	Muy alto	23.1932	 15 473	68
Ojo de Agua	33	10	8	29.17	20	30	0	1	0	60	-0.5626	Alto	10.1858	 71 262	815
El Puertecito Laguna	30	7	0	33.33	14.29	14.29	0	1.36	14.29	28.57	-0.7452	Alto	8.7359	 81 073	 1 046
Rancho de Enmedio	18	4	21.43	42.86	100	25	100	1.5	100	100	1.5657	Muy alto	27.0819	 9 143	26
Cuauhtémoc	31	6	4.76	38.1	0	100	100	2.07	50	100	1.0039	Muy alto	22.622	 16 665	87
La Mesilla	33	8	4.35	26.09	0	87.5	75	2.36	87.5	100	1.0601	Muy alto	23.0682	 15 757	72
El Coronado	18	7	18.18	54.55	14.29	16.67	0	1.06	0	71.43	-0.2149	Alto	12.9462	 53 725	471
El Potrero (La Nuca)	14	3	0	30	0	0	33.33	1.4	33.33	100	-0.2676	Alto	12.5279	 56 121	516
Zaragoza	15	3	27.27	45.45	33.33	0	0	1.88	0	66.67	0.0118	Alto	14.7456	 43 986	333
El Álamo (La Caseña y la Pajareña)	10	4	11.11	12.5	0	0	0	0.67	0	25	-1.2926	Bajo	4.3904	 103 455	 1 844
La Laguna y Joya de Alardín (El Llano)	26	6	23.53	40	16.67	0	0	1.53	0	16.67	-0.5842	Alto	10.0142	 72 451	840
San José del Río Blanco	236	49	4.55	31.75	2.04	0	0	1.65	10.2	28.57	-0.8127	Alto	8.2001	 84 683	 1 151
La Cañada	19	4	0	0	25	0	0	2.38	0	50	-0.7907	Alto	8.3748	 83 526	 1 125
Luis Donaldo Colosio	221	48	9.68	38.98	18.75	2.08	6.38	1.8	22.92	45.83	-0.3132	Alto	12.1654	 58 328	551
La Barranca	16	4	0	33.33	25	100	100	1.78	50	100	0.9636	Muy alto	22.3017	 17 374	93
Las Cruces	16	3	22.22	22.22	0	0	0	2.29	0	66.67	-0.3627	Alto	11.7725	 60 766	601
Camino Al Salto	9	3	0	0	0	0	0	1.13	33.33	0	-1.3506	Muy bajo	3.9302	 104 369	 1 902
General Zuazua	 9 898	 2 617	4.48	17.52	0.8	0.23	0.92	1.18	1.11	6.69	-1.2805	Bajo	4.4861	 103 221	 1 830
La Gloria Dos	16	3	18.18	63.64	0	0	0	2.29	0	0	-0.4076	Alto	11.4161	 63 080	653
Cerralvo Dos (La Carrera)	12	3	12.5	28.57	0	0	0	2	0	0	-0.9043	Medio	7.4731	 89 432	 1 315
El Rodeo	8	3	0	33.33	33.33	0	0	2	0	0	-0.8194	Medio	8.1466	 85 063	 1 161
Paseos del Roble	837	242	0.95	7.2	0	0	0	1.42	1.24	5.79	-1.3747	Muy bajo	3.7385	 104 701	 1 926
Hm (Granja)	24	6	0	13.33	0	0	0	3.43	0	0	-0.8201	Medio	8.1412	 85 110	 1 162
Lilego	17	4	0	44.44	0	0	0	1.89	0	25	-0.7823	Alto	8.4414	 83 118	 1 114
Silvia María	37	8	0	20	0	0	0	2.47	0	12.5	-0.941	Medio	7.1818	 91 177	 1 375
La Gloria (La Palma)	11	3	0	16.67	0	0	0	1.57	0	0	-1.2956	Bajo	4.3667	 103 515	 1 847
Santa Teresita	20	5	0	25	40	0	0	2	0	0	-0.863	Medio	7.8009	 87 350	 1 245
Marlan	28	8	0	22.22	0	0	12.5	0.82	0	0	-1.4054	Muy bajo	3.4948	 105 042	 1 945
El Mohíno	16	4	27.27	54.55	0	25	50	2.29	0	25	0.0834	Alto	15.3137	 41 209	309
El Mezquite	29	8	0	27.27	12.5	12.5	25	1.26	12.5	12.5	-0.883	Medio	7.6425	 88 358	 1 272
Rubén Platas	17	4	23.08	30.77	25	0	25	2.13	0	0	-0.4889	Alto	10.7704	 67 357	731
El Mirador de Ciénega de Flores	30	11	0	21.74	0	0	9.09	0.64	0	0	-1.4704	Muy bajo	2.9792	 105 623	 1 974
Portal del Norte	157	42	0.85	0.9	4.76	0	9.76	0.69	0	2.38	-1.6076	Muy bajo	1.8893	 106 595	 2 024
Fraccionamiento Real Palmas	 34 636	 9 102	0.69	5.51	1.08	0.08	0.99	1.21	0.78	3.67	-1.458	Muy bajo	3.0771	 105 528	 1 968
Los Guajardo	13	3	16.67	33.33	0	0	33.33	1.86	0	0	-0.7361	Alto	8.8085	 80 582	 1 027
Primero de Marzo	10	3	0	40	33.33	0	0	1.67	0	0	-0.8438	Medio	7.9535	 86 345	 1 208
Villas de Alcalá	 5 405	 1 456	0.39	5.05	1.3	0	0	0.95	0.96	3.91	-1.537	Muy bajo	2.4503	 106 113	 2 000
Hacienda San Pedro	 3 707	 1 052	0.56	3.89	1.33	0	0.1	0.95	0.29	2.95	-1.5564	Muy bajo	2.2961	 106 243	 2 007
Poblado Comunal Zuazua	74	24	1.89	19.61	20.83	95.83	100	2.85	100	95.83	1.4137	Muy alto	25.8747	 10 853	34
Guadalupe	 673 616	 168 477	1.88	10.28	1.9	0.07	0.74	0.88	1.38	3.97	-1.4763	Muy bajo	2.9318	 105 672	 1 977
Las Escobas	 3 930	 1 034	1.02	5.57	1.35	0.29	3.51	1.18	1.66	3.77	-1.4438	Muy bajo	3.1901	 105 396	 1 961
Bello Amanecer	135	43	0	0	4.65	0	0	0.64	0	6.98	-1.6451	Muy bajo	1.5917	 106 825	 2 030
El Ranchito Número Uno	183	56	10.34	41.38	19.64	8.93	100	1.61	98.21	62.5	0.6364	Alto	19.7039	 24 221	139
Los Sitios (Las Marraneras)	104	32	14.71	44.12	6.25	3.13	100	1.89	75	21.88	0.2745	Alto	16.831	 34 392	238
Los Herreras	 1 565	544	5.41	32.55	4.41	0.93	3.35	0.75	0.56	4.41	-1.2225	Bajo	4.9472	 101 924	 1 772
Barretosa	33	16	23.33	55.17	12.5	6.25	13.33	0.8	0	6.25	-0.6419	Alto	9.556	 75 494	913
Hacienda de Guadalupe (Guadalupe)	29	10	15.79	47.06	10	0	22.22	0.72	0	10	-0.8401	Medio	7.9828	 86 139	 1 196
La Laja (San José de la Laja)	65	24	9.09	55.56	12.5	0	4.35	0.69	0	8.33	-0.9011	Medio	7.4981	 89 278	 1 311
San Agustín	100	37	7.87	60.92	2.7	0	5.41	0.76	0	2.7	-0.932	Medio	7.2531	 90 751	 1 359
San Vicente	195	74	3.29	38.16	4.05	0	13.51	0.7	0	1.35	-1.2046	Bajo	5.0887	 101 415	 1 752
Los Herreras (Teresa Cortez)	9	3	16.67	50	0	0	0	1.13	33.33	0	-0.6484	Alto	9.5048	 75 891	924
Higueras	 1 462	400	5.15	21.15	6.25	1	1.5	1.16	3.25	5	-1.1989	Bajo	5.1339	 101 250	 1 742
Higueras	26	8	0	23.53	0	0	0	1.86	0	12.5	-1.0728	Bajo	6.1351	 96 972	 1 562
El Puerto	10	3	33.33	50	33.33	0	33.33	1.43	0	33.33	-0.085	Alto	13.9771	 47 995	389
Hualahuises	 5 687	 1 598	3.23	21.94	3.38	0.31	2.01	0.91	0.81	4.69	-1.3215	Bajo	4.1608	 103 948	 1 877
Buena Vista	52	15	8.11	40.54	0	0	6.67	1.21	6.67	6.67	-0.949	Medio	7.1182	 91 548	 1 382
Camarillo	9	3	0	25	33.33	0	100	1.13	0	0	-0.8174	Medio	8.1627	 84 950	 1 159
El Cangrejo	24	7	6.25	43.75	14.29	0	14.29	1.2	14.29	28.57	-0.6504	Alto	9.4887	 75 986	925
Carrizos	28	11	4.55	54.55	0	0	0	0.8	18.18	0	-0.9496	Medio	7.1135	 91 571	 1 386
La Cruz	67	19	5.88	46	0	15.79	10.53	1.25	10.53	26.32	-0.6561	Alto	9.4431	 76 283	932
La Laja	279	90	7.08	34.87	2.22	0	3.33	0.96	10	10	-1.0409	Medio	6.3889	 95 638	 1 515
Magüiras	141	46	7.96	44.25	8.7	0	4.35	1.18	10.87	21.74	-0.759	Alto	8.6266	 81 840	 1 072
Paso de Lajas (La Laja)	91	35	4.41	41.18	14.29	5.71	8.57	1.14	22.86	25.71	-0.6564	Alto	9.4412	 76 299	933
El Pinto	137	37	0	26.53	0	0	2.7	1.04	0	2.7	-1.3179	Bajo	4.1894	 103 873	 1 871
La Purísima	35	12	11.11	48.15	8.33	0	0	1.06	0	25	-0.7853	Alto	8.4177	 83 265	 1 118
Las Raíces de Arriba	5	3	0	20	33.33	0	100	0.83	0	33.33	-0.747	Alto	8.7217	 81 168	 1 050
San José de los Álamos	17	5	0	35.29	0	0	60	0.94	0	0	-1.0904	Bajo	5.9953	 97 667	 1 585
El Troncón	33	8	4.55	61.9	0	0	50	1.43	12.5	25	-0.4314	Alto	11.2269	 64 322	674
La Querencia	6	3	0	20	0	0	0	0.75	0	0	-1.4868	Muy bajo	2.8489	 105 758	 1 979
La Luz de la Parrita	8	4	0	71.43	0	0	25	0.57	50	0	-0.6024	Alto	9.8698	 73 361	866
Mojonera (Magüiras)	42	10	0	19.23	0	0	0	1.17	0	10	-1.319	Bajo	4.1805	 103 899	 1 875
Cinco Señores (Los Ángeles)	102	26	5.56	38.03	3.85	4	3.85	1.59	3.85	26.92	-0.7606	Alto	8.6138	 81 923	 1 075
Iturbide	 1 896	507	6.28	25.73	2.37	0.99	2.17	1.08	2.96	9.47	-1.1569	Bajo	5.4678	 100 036	 1 686
Benito Juárez (Las Adjuntas)	68	15	14.58	44.68	6.67	100	13.33	1.84	33.33	100	0.7734	Muy alto	20.7921	 21 103	114
La Boquilla	25	8	0	57.14	0	100	0	1.04	37.5	100	0.4427	Alto	18.1668	 29 307	186
Buena Vista	92	24	4.69	39.06	8.33	66.67	66.67	1.35	4.17	100	0.2343	Alto	16.5121	 35 735	254
Camarones	94	31	6.85	58.33	12.9	3.23	3.23	1.03	6.45	29.03	-0.6202	Alto	9.7281	 74 329	890
La Colorada	88	25	17.46	37.7	16	8	100	0.99	0	20	-0.4423	Alto	11.1408	 64 896	689
Cuevas	95	26	7.81	50	11.54	0	0	1.44	11.54	57.69	-0.4082	Alto	11.4116	 63 111	654
Las Delicias	58	9	0	10.34	0	0	0	1.93	0	0	-1.2596	Bajo	4.652	 102 793	 1 809
Jazmínes	10	5	12.5	62.5	0	0	60	0.67	20	40	-0.3592	Alto	11.8007	 60 581	598
Santa Rosa (Laguna de Santa Rosa)	35	13	11.76	59.38	0	0	30.77	0.85	7.69	23.08	-0.6315	Alto	9.6383	 74 932	903
Lampazos	37	10	0	20	10	0	40	1.54	10	40	-0.7727	Alto	8.5181	 82 572	 1 100
La Luz	36	10	7.69	53.85	0	10	0	1.29	0	10	-0.7862	Alto	8.4104	 83 311	 1 120
El Madroño	119	39	8.99	42.7	5.13	2.56	5.13	1.11	0	38.46	-0.7568	Alto	8.6443	 81 715	 1 069
Marrubial	11	4	27.27	63.64	0	0	0	1	0	25	-0.4953	Alto	10.7201	 67 693	741
Los Pinos	18	4	8.33	33.33	0	0	0	1.5	0	0	-1.0459	Medio	6.3485	 95 850	 1 523
La Providencia	12	3	14.29	42.86	33.33	0	0	1.71	0	66.67	-0.2226	Alto	12.8852	 54 062	476
La Purísima	148	35	4.76	43.56	0	0	0	1.49	14.29	45.71	-0.6169	Alto	9.7546	 74 165	882
San Antonio de Peñitas	144	34	3.33	30.34	8.82	2.94	0	1.73	11.76	26.47	-0.7642	Alto	8.5854	 82 116	 1 082
San Francisco de las Adjuntas	30	8	9.52	52.38	12.5	100	0	1.2	50	100	0.7173	Muy alto	20.3468	 22 330	123
Santa Inés	64	18	9.76	36.59	0	50	0	1.39	0	100	-0.1111	Alto	13.7699	 49 113	404
El Saucillo	65	14	11.43	37.14	28.57	28.57	14.29	1.76	21.43	42.86	-0.1021	Alto	13.8411	 48 741	398
El Saucito	19	4	9.09	45.45	25	0	0	1.58	0	50	-0.4467	Alto	11.1057	 65 135	695
La Tijera	23	3	10	44.44	0	0	33.33	2.56	66.67	100	0.5471	Alto	18.995	 26 484	159
San Antonio	63	14	6.98	37.21	35.71	14.29	0	1.97	21.43	57.14	-0.1061	Alto	13.8095	 48 884	401
Agua de Enmedio	22	7	33.33	72.22	42.86	100	14.29	1	0	100	1.0338	Muy alto	22.8594	 16 169	80
San José	15	4	0	30	0	0	0	1.67	25	0	-0.964	Medio	6.9987	 92 249	 1 408
La Mentira (Las Anacuas)	64	16	0	47.5	0	0	0	1.45	31.25	50	-0.5055	Alto	10.6393	 68 250	758
La Noria	7	3	28.57	100	100	66.67	33.33	0.88	0	100	1.4035	Muy alto	25.7936	 10 971	37
La Cieneguita	7	3	0	71.43	66.67	0	33.33	0.78	33.33	0	-0.2452	Alto	12.7051	 55 087	492
La Luz (El Puerto)	13	3	0	66.67	0	0	0	1.86	0	66.67	-0.3187	Alto	12.122	 58 578	555
Altamira	18	4	40	80	75	75	75	1.29	75	100	2.0184	Muy alto	30.6757	 5 161	10
Iturbide (Alejandría)	20	6	0	23.08	0	0	0	1.11	0	33.33	-1.1562	Bajo	5.4735	 100 005	 1 685
Mario Carreón Rodríguez	14	4	0	11.11	0	0	0	1.4	0	0	-1.3969	Muy bajo	3.5621	 104 943	 1 940
Ciudad Benito Juárez	 151 893	 39 262	1.16	7.19	1.43	0.07	2.09	1.08	1.22	4.54	-1.4572	Muy bajo	3.0838	 105 518	 1 967
San Francisco (El Avispero)	6	4	33.33	33.33	0	0	75	0.46	0	25	-0.625	Alto	9.6906	 74 572	896
La Boca de San Roque (Charco Azul)	8	4	16.67	66.67	50	50	75	1.33	75	75	1.1546	Muy alto	23.8177	 14 234	59
Carricitos	55	14	3.13	31.25	7.14	0	28.57	1.28	0	7.14	-1.0149	Medio	6.5952	 94 510	 1 474
La Ciénega (La Cieneguita)	65	23	4.08	25	0	0	68.18	1.02	0	4.35	-1.0666	Medio	6.1844	 96 722	 1 557
La Ciudadela	111	28	9.46	38.89	3.57	0	21.43	1.35	0	14.29	-0.8417	Medio	7.97	 86 218	 1 204
