Localidad,Población total,Viviendas particulares habitadas,Población de 15 años o más analfabeta,Población de 15 años o más sin primaria completa, Viviendas particulares habitadas sin excusado, Viviendas particulares habitadas sin energía eléctrica,Viviendas particulares habitadas sin disponibilidad de agua entubada,Promedio de ocupantes por cuarto en viviendas particulares habitadas,Viviendas particulares habitadas con piso de tierra,Viviendas particulares habitadas que no disponen de refrigerador,Índice de marginación,Grado de marginación,"Índice de marginación escala 
0 a 100",Lugar que ocupa en el contexto nacional,Lugar que ocupa en el contexto  estatal
Monclova Segundo Sector,1177,270,4.519774011,21.32564842,0.37037037,0,94.81481481,1.34,6.296296296,6.666666667,-0.864555362,Medio,7.788511362,87426,1247
Praderas de San Francisco,1215,339,0.899742931,5.867014342,0,0,0.884955752,1,0.591715976,5.014749263,-1.509543379,Muy bajo,2.668127806,105924,1990
San Miguel de los Garza,51,19,14.63414634,45,5.263157895,21.05263158,94.11764706,1.7,42.10526316,89.47368421,0.499011364,Alto,18.61349486,27763,169
Ciudad General Terán,6333,1886,3.544463087,20.87051143,1.272534465,0.106213489,2.078891258,0.84,1.433121019,3.976670202,-1.360574574,Muy bajo,3.850750425,104497,1913
El Álamo,18,6,15.38461538,46.15384615,50,0,83.33333333,1,0,0,-0.408500343,Alto,11.40900749,63126,655
Ampliación de la Laguna,102,29,7.792207792,36,0,0,0,0.95,0,3.448275862,-1.15581143,Bajo,5.476309055,99992,1684
Las Anacuas,148,44,4.807692308,42.15686275,0,0,0,0.92,2.272727273,2.272727273,-1.13189821,Bajo,5.66614957,99169,1651
Las Anacuas,70,21,5.882352941,32,0,0,4.761904762,1.21,0,4.761904762,-1.124830921,Bajo,5.722254849,98946,1638
Las Anacuitas,400,106,5.992509363,23.55212355,0.943396226,0.943396226,11.32075472,1.17,2.830188679,9.433962264,-1.137586194,Bajo,5.620994217,99368,1657
El Balastre,17,6,8.333333333,33.33333333,16.66666667,83.33333333,100,1,0,83.33333333,0.256996123,Alto,16.69220202,34978,245
Las Brisas,234,75,6.703910615,45.14285714,4,0,9.333333333,0.96,10.66666667,5.333333333,-0.938003302,Medio,7.205428244,91033,1371
Buenavista de Jiménez,7,5,14.28571429,71.42857143,0,0,100,0.41,20,20,-0.311925351,Alto,12.17568996,58272,549
California,378,105,6.037735849,34.50980392,0,0.952380952,0.952380952,1.02,5.714285714,1.904761905,-1.134277625,Bajo,5.647260043,99258,1655
El Capiro (La Enramada),9,3,0,11.11111111,33.33333333,100,100,1.29,0,100,0.31367199,Alto,17.14213624,33135,224
La Corona (Camarillo),291,83,10.37735849,40.77669903,4.819277108,0,8.536585366,1.14,20.73170732,10.84337349,-0.781067433,Alto,8.451299206,83066,1111
La Corona,172,49,13.74045802,40.31007752,0,0,97.95918367,1.15,8.333333333,6.12244898,-0.595008236,Alto,9.928372314,73014,855
Dolores,126,36,3.125,32.96703297,0,0,22.22222222,1.05,2.777777778,5.555555556,-1.113234152,Bajo,5.814318424,98528,1619
Emiliano Zapata,41,13,3.125,46.875,15.38461538,0,100,1.41,0,30.76923077,-0.403867393,Alto,11.44578722,62877,647
El Encadenado,29,9,4.545454546,36.36363636,0,0,33.33333333,0.91,0,0,-1.117199026,Bajo,5.782842374,98672,1626
El Encadenado,52,16,9.523809524,33.33333333,6.25,0,0,0.98,25,12.5,-0.88870576,Medio,7.596787957,88630,1286
La Escondida,17,5,13.33333333,64.28571429,0,0,100,1,20,0,-0.354217458,Alto,11.83994448,60318,593
El Espíritu,106,34,6.578947368,36.84210526,0,0,0,1.08,14.70588235,2.941176471,-1.028736843,Medio,6.485119462,95098,1496
Falcones,14,4,10,40,0,0,100,1.75,25,0,-0.396318411,Alto,11.50571652,62483,638
La Florida,41,16,9.375,46.875,0,0,0,0.63,0,6.25,-1.099094457,Bajo,5.926569596,97999,1599
La Granja,195,53,8.510638298,30.14705882,37.73584906,3.773584906,0,1.31,9.433962264,11.32075472,-0.75061556,Alto,8.693048306,81357,1058
El Granjenal,141,49,1.818181818,31.77570093,0,0,0,0.82,0,6.12244898,-1.291512096,Bajo,4.399018559,103436,1843
Guadalupe,12,4,0,55.55555556,0,0,0,0.71,0,0,-1.146404384,Bajo,5.550989021,99672,1669
Guadalupe la Joya,108,41,12.22222222,61.36363636,2.43902439,4.878048781,100,0.91,0,12.19512195,-0.441309691,Alto,11.14854305,64844,687
La Laguna,182,54,4.580152672,26.4,0,0,1.851851852,0.94,3.703703704,1.851851852,-1.271666163,Bajo,4.556569996,103041,1822
Los Lirios,12,4,0,72.72727273,0,100,100,0.8,0,100,0.594591003,Alto,19.37227549,25237,151
La Loma,13,3,12.5,28.57142857,0,100,100,1.44,0,100,0.48938515,Alto,18.53707498,28007,172
El Llano (San Rafael del Llano),264,85,3.96039604,19,0,1.176470588,24.70588235,0.94,0,5.882352941,-1.272760514,Bajo,4.547882243,103062,1823
El Milagro,24,10,4.761904762,47.61904762,20,0,100,1.14,20,10,-0.410786035,Alto,11.39086201,63245,659
El Mogollón,61,16,4.761904762,29.26829268,0,0,0,1.22,6.25,6.25,-1.126299404,Bajo,5.710596958,98999,1642
Noche Buena,20,5,7.692307692,23.07692308,20,100,100,2,40,100,0.920403579,Muy alto,21.95881247,18187,97
Ojo de Agua,222,73,6.951871658,40.54054054,2.739726027,0,29.57746479,0.75,2.816901409,5.479452055,-1.03315746,Medio,6.450025394,95298,1501
Los Olmos (Los Olmitos),8,4,12.5,62.5,0,0,25,0.62,0,0,-0.865715161,Medio,7.779304033,87481,1249
Peñita,10,4,10,80,0,50,100,1.25,0,100,0.604768833,Alto,19.4530745,24996,150
El Pinolillo,60,14,4.545454546,28.57142857,21.42857143,0,92.85714286,1.4,14.28571429,7.142857143,-0.602037193,Alto,9.872571344,73342,865
El Puertecito,24,7,10,40,14.28571429,0,100,1.33,0,0,-0.600459566,Alto,9.885095692,73263,864
La Purísima,412,110,9.929078014,29.85611511,0,1.818181818,10.90909091,1.31,5.454545455,7.272727273,-0.98424353,Medio,6.838339711,93170,1438
La Purísima,36,11,25,57.14285714,63.63636364,0,100,1.09,0,0,-0.022192627,Alto,14.47579885,45341,359
Ramírez,267,79,4.020100503,22.91666667,0,0,0,0.91,0,5.063291139,-1.333350495,Muy bajo,4.066874949,104121,1886
Rancho Nuevo,9,3,0,57.14285714,0,100,100,1.29,33.33333333,100,0.804488829,Muy alto,21.03859695,20473,110
El Rincón,50,17,0,17.5,0,0,5.882352941,0.85,5.882352941,5.882352941,-1.388995031,Muy bajo,3.625128187,104837,1933
Salinillas,21,5,0,15.38461538,0,0,20,1.75,20,0,-1.056648013,Medio,6.263540319,96280,1544
San Antonio de la Joya,9,4,11.11111111,77.77777778,50,0,100,0.9,0,0,-0.123069189,Alto,13.6749674,49631,410
San Joaquín,129,40,4.12371134,26.31578947,0,0,0,0.78,2.5,0,-1.347412076,Muy bajo,3.955243899,104325,1898
San José de Belén,12,4,11.11111111,55.55555556,0,100,100,1.71,25,100,0.984903516,Muy alto,22.47085983,16995,91
San José de Belén,13,4,11.11111111,66.66666667,0,100,100,0.87,0,100,0.692632283,Alto,20.15059841,22920,129
San Juanito,11,5,0,54.54545455,0,0,0,0.85,0,0,-1.118119232,Bajo,5.775537111,98708,1631
San Julián,84,23,5,27.11864407,0,4.347826087,13.04347826,1.02,0,8.695652174,-1.158597481,Bajo,5.454191354,100091,1687
San Miguel,7,5,0,14.28571429,0,100,100,0.54,0,100,-0.053888919,Alto,14.22417066,46637,369
San Pedro,327,108,4.263565892,25.50607287,0,0,0,0.74,0.925925926,0,-1.37545687,Muy bajo,3.732603944,104712,1928
San Pedro de los Reyes,16,8,0,58.33333333,0,87.5,100,0.59,0,87.5,0.241904869,Alto,16.57239668,35477,251
San Rafael,44,19,13.51351351,35.13513514,0,0,0,0.85,10.52631579,0,-1.068485437,Medio,6.169566244,96802,1558
San Rafael de la Joya,33,11,30.76923077,75,45.45454545,0,100,1.18,0,18.18181818,0.255195683,Alto,16.67790882,35033,246
Santa Engracia,131,40,11.21495327,56.31067961,2.5,5.128205128,2.564102564,1.15,10.25641026,22.5,-0.617066363,Alto,9.753258871,74173,883
Santa Engracia,37,15,21.875,54.83870968,0,0,0,0.65,21.42857143,0,-0.748822506,Alto,8.70728287,81259,1053
Santa Isabel,11,6,0,50,16.66666667,100,100,0.92,16.66666667,100,0.61478004,Alto,19.53255074,24734,146
Santa Ana Viejo,325,78,2.978723404,23.31838565,11.53846154,0,1.282051282,1.03,0,1.282051282,-1.261221383,Bajo,4.639488251,102828,1812
Santa Rita,147,42,5.357142857,31.48148148,7.142857143,0,2.380952381,1.04,7.142857143,11.9047619,-1.056573688,Medio,6.26413036,96277,1543
El Toro,63,21,9.259259259,40.74074074,0,0,100,1.09,9.523809524,0,-0.685406557,Alto,9.210724757,77870,962
Las Tórtolas,19,6,0,46.15384615,0,0,100,1.19,16.66666667,16.66666667,-0.570071814,Alto,10.12633575,71684,821
Tronconal,48,15,2.564102564,20.51282051,0,0,0,0.84,6.666666667,13.33333333,-1.298362863,Bajo,4.344632191,103569,1852
La Unión,286,91,3.619909502,26.19047619,0,0,18.68131868,0.83,1.098901099,5.494505495,-1.25749548,Bajo,4.669067174,102747,1805
San Jorge,6,3,16.66666667,50,0,0,100,1,0,0,-0.591695309,Alto,9.954672734,72837,849
Rancho Grande,9,3,0,50,0,0,66.66666667,0.6,0,0,-1.016591818,Medio,6.581535497,94586,1476
El Naranjo,47,17,9.090909091,53.125,0,0,0,1.04,5.882352941,0,-0.926088868,Medio,7.300013678,90480,1351
El Carmen,39,10,0,13.63636364,0,0,20,0.95,0,0,-1.430547699,Muy bajo,3.295252916,105285,1954
Santa Anita de la Joya,8,3,0,16.66666667,0,66.66666667,100,1.14,0,66.66666667,-0.274565422,Alto,12.47228022,56463,521
San Francisco (Los Arjona),12,4,25,62.5,25,25,100,0.92,0,25,0.065630269,Alto,15.17300081,41861,313
Los Mimbres,30,9,0,30,0,0,11.11111111,0.86,0,0,-1.322106025,Bajo,4.156141723,103960,1879
Las Majadas,11,4,0,22.22222222,0,0,25,1.57,0,0,-1.160149736,Bajo,5.441868425,100135,1693
Jesús María,13,3,12.5,50,0,0,66.66666667,2.17,0,33.33333333,-0.229532225,Alto,12.82978646,54374,479
El Canelo,32,8,0,9.090909091,0,0,12.5,1.19,0,12.5,-1.358344767,Muy bajo,3.868452257,104474,1912
Gómez Palacio,7,3,0,42.85714286,0,66.66666667,100,1,0,100,0.147742746,Alto,15.82486933,38780,286
Ramírez,10,3,0,14.28571429,0,0,0,0.83,0,0,-1.521361162,Muy bajo,2.574309659,106018,1995
Nuevo San Juan de Vaquerías,380,103,9.961685824,70.23809524,0,1.941747573,0,1.32,4.854368932,10.67961165,-0.600013015,Alto,9.888640741,73245,861
La Barreta de la Joya,20,6,12.5,40,0,33.33333333,16.66666667,1.18,0,33.33333333,-0.553611131,Alto,10.25701262,70778,809
Rancho Bonito,6,3,0,60,0,100,100,0.75,0,100,0.455176491,Alto,18.26550178,28946,182
Las Anacuas,13,5,12.5,37.5,0,0,80,0.87,20,0,-0.729238053,Alto,8.86275849,80194,1021
El Mogollón,9,3,0,28.57142857,0,0,66.66666667,0.6,0,0,-1.228311023,Bajo,4.900754606,102067,1777
San Pedro,27,7,0,33.33333333,0,0,0,1.13,0,14.28571429,-1.164681452,Bajo,5.405892375,100266,1698
San Rafael,51,17,5.263157895,35.13513514,5.882352941,0,29.41176471,0.86,11.76470588,17.64705882,-0.924451827,Medio,7.3130097,90392,1346
San Pedro,24,7,11.11111111,35.29411765,0,0,71.42857143,1.26,0,0,-0.827366855,Medio,8.083740756,85474,1176
La Laguna,27,9,9.523809524,38.0952381,0,0,0,0.9,11.11111111,11.11111111,-1.004105548,Medio,6.680660582,94040,1453
Mata de Sandía,28,8,10,38.88888889,0,0,100,1.4,12.5,0,-0.589189633,Alto,9.974564614,72711,845
Las Anacuas,30,9,0,22.22222222,0,0,0,1,0,0,-1.396481778,Muy bajo,3.565692952,104941,1939
El Granjenal,16,7,7.692307692,61.53846154,0,0,0,0.5,0,0,-1.048605071,Medio,6.32739103,95960,1527
El Alto,12,3,0,42.85714286,0,0,66.66666667,2.4,33.33333333,0,-0.365236684,Alto,11.75246586,60896,608
La Corona,51,20,19.04761905,61.9047619,0,0,95,0.89,11.11111111,15,-0.323044632,Alto,12.08741702,58785,558
Camarillo,17,6,7.692307692,50,0,0,66.66666667,0.81,16.66666667,16.66666667,-0.647233081,Alto,9.513773542,75823,922
San Joaquín,14,3,0,12.5,0,0,66.66666667,1.27,0,0,-1.203974198,Bajo,5.093958003,101396,1750
Las Compuertas,68,18,3.773584906,33.33333333,16.66666667,0,0,0.99,5.555555556,0,-1.107006951,Bajo,5.863754476,98284,1606
Santa Gertrudis,7,3,0,0,33.33333333,0,100,0.58,0,0,-1.214750964,Bajo,5.008404206,101706,1763
San Gerardo,8,3,0,28.57142857,0,0,0,2,0,33.33333333,-0.858622,Medio,7.8356147,87108,1238
San Ángel,17,4,7.142857143,42.85714286,0,50,50,1,0,50,-0.330014693,Alto,12.03208362,59093,568
Del Maestro,53,15,0,10.52631579,0,0,0,0.6,0,0,-1.621369109,Muy bajo,1.7803739,106689,2028
Pedregal de las Brisas,16,6,0,18.18181818,0,0,0,0.76,0,0,-1.501999352,Muy bajo,2.728017774,105874,1989
El Dorado,25,7,0,23.52941176,0,0,0,0.96,0,0,-1.394499354,Muy bajo,3.581430871,104921,1938
El Barranco,25,7,6.25,18.75,0,0,100,1.92,28.57142857,0,-0.582012458,Alto,10.03154224,72334,838
General Treviño,1019,353,4.785276074,34.72750317,1.983002833,0.284900285,1.424501425,0.72,0,2.83286119,-1.254643353,Bajo,4.69170943,102689,1803
San Javier,105,36,3.529411765,46.42857143,5.555555556,0,5.555555556,0.88,0,5.555555556,-1.062176306,Medio,6.219652708,96521,1550
Ventura Macías (La Curva),9,3,0,33.33333333,0,0,66.66666667,0.6,0,0,-1.181262311,Bajo,5.274261471,100743,1716
Luis Donaldo Colosio,90,23,2.083333333,28.26086957,13.04347826,13.04347826,82.60869565,2.2,4.347826087,21.73913043,-0.398428737,Alto,11.48896322,62582,640
General Zaragoza,1941,482,4.603773585,25.46483428,1.452282158,0.20746888,1.244813278,1.06,7.916666667,17.21991701,-1.117930059,Bajo,5.777038906,98699,1630
El Ahuiche,10,5,0,88.88888889,20,20,100,0.67,40,100,0.615703328,Alto,19.53988047,24712,145
Las Avispas,22,5,8.333333333,25,40,40,20,1.69,20,100,0.211851263,Alto,16.33380932,36521,260
Casas Reales,19,4,7.692307692,90,25,25,100,1.46,100,100,1.412644603,Muy alto,25.8665794,10861,35
La Cieneguita,111,24,9.45945946,59.45945946,4.166666667,0,100,1.37,16.66666667,66.66666667,0.055696866,Alto,15.09414224,42219,317
Dulces Nombres (Santa Teresa),39,12,7.142857143,46.42857143,8.333333333,8.333333333,16.66666667,1.11,0,91.66666667,-0.329292643,Alto,12.03781577,59059,567
La Encantada,199,48,8.474576271,26.08695652,12.5,10.41666667,6.382978723,1.66,18.75,75,-0.330855822,Alto,12.02540612,59139,569
Joya de San Diego,183,44,11.57024793,50.83333333,6.818181818,11.36363636,100,1.31,29.54545455,81.81818182,0.246794795,Alto,16.61121646,35282,249
La Laguna,69,15,2.702702703,22.22222222,6.666666667,20,6.666666667,1.86,13.33333333,53.33333333,-0.528699972,Alto,10.4547755,69495,782
La Lobera,17,5,20,28.57142857,20,20,0,1.06,0,60,-0.464086814,Alto,10.96772169,66025,713
El Melón de Arriba,22,5,7.142857143,92.85714286,100,40,20,1.69,100,100,1.768381084,Muy alto,28.69067408,7190,16
El Muerto,68,15,6.976744186,67.44186047,60,46.15384615,100,2,20,100,1.111156755,Muy alto,23.47314979,14886,63
El Refugio,209,43,5.34351145,56.58914729,6.976744186,0,6.976744186,1.38,23.25581395,48.8372093,-0.367156749,Alto,11.73722298,60985,610
El Rincón,30,6,19.23076923,73.07692308,83.33333333,16.66666667,50,1.58,100,100,1.549078583,Muy alto,26.94969147,9327,27
El Salitre,164,39,7.070707071,39.36170213,17.94871795,0,23.07692308,1.62,15.38461538,74.35897436,-0.234279421,Alto,12.79209977,54595,483
Rincón del Salto,12,3,9.090909091,40,0,0,0,0.75,0,0,-1.175609406,Bajo,5.319138335,100572,1711
San Francisco,206,59,9.554140127,41.93548387,5.084745763,5.084745763,72.88135593,1,10.16949153,61.01694915,-0.346954184,Alto,11.89760563,59927,586
San Josecito,132,34,2.97029703,51.48514851,8.823529412,9.375,11.76470588,1.21,8.823529412,58.82352941,-0.448579117,Alto,11.09083306,65206,698
Siberia,216,46,7.692307692,28.57142857,0,4.347826087,19.56521739,1.64,2.173913044,71.73913043,-0.523471943,Alto,10.49627939,69232,776
Tepozanes,171,41,10.28037383,49.01960784,12.19512195,9.756097561,24.3902439,1.35,12.19512195,58.53658537,-0.259193277,Alto,12.59431548,55740,507
Los Toros,18,4,5.882352941,58.82352941,50,50,100,1.13,75,100,1.119591607,Muy alto,23.54011177,14768,62
La Laguna (La Laguna Seca),15,5,0,10,0,0,0,1.36,40,80,-0.658574166,Alto,9.423739769,76416,936
Tinajitas,16,4,0,28.57142857,100,75,75,2,25,100,1.005242999,Muy alto,22.63232943,16647,86
Potreritos,31,7,25,40.90909091,42.85714286,0,14.28571429,1.94,14.28571429,100,0.356678573,Alto,17.48355374,31800,209
Tinajas (Los Tanques),47,13,0,45.16129032,30.76923077,0,30.76923077,1.74,15.38461538,92.30769231,-0.024463948,Alto,14.45776746,45434,360
El Pame,12,4,12.5,50,0,0,100,1.33,75,100,0.569253073,Alto,19.17112458,25871,156
Mal Paso,27,6,5.555555556,16.66666667,0,100,16.66666667,1.59,16.66666667,100,0.172532094,Alto,16.02166518,37881,276
Las Hiedras,18,5,9.090909091,18.18181818,0,80,60,1.5,0,100,0.107855454,Alto,15.50821502,40254,297
San Antonio,17,5,14.28571429,92.85714286,0,40,60,1.06,0,100,0.54262423,Alto,18.95972548,26588,161
Los Difuntos,28,8,5.882352941,47.05882353,12.5,12.5,12.5,1.17,12.5,62.5,-0.376143267,Alto,11.66588148,61439,619
La Bajada del Carretón,53,13,13.79310345,44.82758621,15.38461538,7.692307692,30.76923077,1.56,15.38461538,61.53846154,-0.132831485,Alto,13.5974672,50063,414
Yerbabuena,9,3,25,62.5,66.66666667,100,100,1.13,33.33333333,100,1.513831289,Muy alto,26.66987284,9720,29
La Sabanilla,16,5,0,57.14285714,20,0,20,0.89,0,20,-0.779648857,Alto,8.462560893,82977,1108
El Baral,56,15,5.263157895,35.13513514,0,0,0,1.3,0,6.666666667,-1.080799233,Bajo,6.071810378,97290,1570
El Puertecito Baral,62,13,5.405405405,14.28571429,7.692307692,15.38461538,7.692307692,1.59,0,30.76923077,-0.895043446,Medio,7.546474798,88955,1299
La Lámina,17,7,5.882352941,37.5,14.28571429,0,14.28571429,0.74,14.28571429,14.28571429,-0.928947771,Medio,7.277317628,90612,1354
La Loma,17,4,12.5,25,0,25,0,2.43,50,50,-0.019626832,Alto,14.49616799,45237,358
Loma Atravesada,32,6,5.882352941,76.47058824,83.33333333,50,0,2,16.66666667,100,1.001113937,Muy alto,22.59954994,16719,88
Los Chirriones,19,4,20,60,100,100,100,1.9,100,100,2.29096348,Muy alto,32.83931287,3527,3
El Rosillo,64,11,7.5,55,100,36.36363636,100,1.83,90.90909091,100,1.609563883,Muy alto,27.42986773,8700,24
Puerto del Aire,81,16,13.7254902,59.18367347,18.75,53.84615385,100,1.62,18.75,100,0.809010976,Muy alto,21.07449704,20380,109
Joya de San Lázaro,42,10,17.24137931,25.92592593,70,0,0,1.45,10,80,-0.060951033,Alto,14.16810646,46944,375
Puerto Bajo,25,4,17.64705882,50,75,50,100,2.5,100,100,1.87172964,Muy alto,29.51113001,6309,14
San Isidro,11,3,27.27272727,72.72727273,0,33.33333333,100,0.85,100,100,1.225984476,Muy alto,24.38473567,13226,55
La Joya de Alardín,247,54,4.109589041,35.29411765,11.11111111,3.703703704,7.407407407,1.52,1.851851852,29.62962963,-0.77027016,Alto,8.537015804,82438,1096
Bajada del Mezquite,13,4,0,44.44444444,0,25,50,1.18,25,75,-0.185332366,Alto,13.18067706,52418,457
Buena Vista,69,13,8.108108108,40.54054054,46.15384615,76.92307692,92.30769231,1.82,46.15384615,100,1.075894049,Muy alto,23.1932088,15473,68
Ojo de Agua,33,10,8,29.16666667,20,30,0,1,0,60,-0.562580348,Alto,10.18580845,71262,815
El Puertecito Laguna,30,7,0,33.33333333,14.28571429,14.28571429,0,1.36,14.28571429,28.57142857,-0.745213028,Alto,8.735937531,81073,1046
Rancho de Enmedio,18,4,21.42857143,42.85714286,100,25,100,1.5,100,100,1.565727917,Muy alto,27.08186598,9143,26
Cuauhtémoc,31,6,4.761904762,38.0952381,0,100,100,2.07,50,100,1.003940298,Muy alto,22.62198764,16665,87
La Mesilla,33,8,4.347826087,26.08695652,0,87.5,75,2.36,87.5,100,1.060143773,Muy alto,23.06817167,15757,72
El Coronado,18,7,18.18181818,54.54545455,14.28571429,16.66666667,0,1.06,0,71.42857143,-0.214862797,Alto,12.94624304,53725,471
El Potrero (La Nuca),14,3,0,30,0,0,33.33333333,1.4,33.33333333,100,-0.267558749,Alto,12.52790428,56121,516
Zaragoza,15,3,27.27272727,45.45454545,33.33333333,0,0,1.88,0,66.66666667,0.011792033,Alto,14.74559378,43986,333
El Álamo (La Caseña y la Pajareña),10,4,11.11111111,12.5,0,0,0,0.67,0,25,-1.292593122,Bajo,4.390436592,103455,1844
La Laguna y Joya de Alardín (El Llano),26,6,23.52941176,40,16.66666667,0,0,1.53,0,16.66666667,-0.584196316,Alto,10.01420519,72451,840
San José del Río Blanco,236,49,4.545454546,31.74603175,2.040816327,0,0,1.65,10.20408163,28.57142857,-0.812705651,Alto,8.200132047,84683,1151
La Cañada,19,4,0,0,25,0,0,2.38,0,50,-0.790697916,Alto,8.374845435,83526,1125
Luis Donaldo Colosio,221,48,9.677419355,38.98305085,18.75,2.083333333,6.382978723,1.8,22.91666667,45.83333333,-0.313220415,Alto,12.1654088,58328,551
La Barranca,16,4,0,33.33333333,25,100,100,1.78,50,100,0.963598054,Muy alto,22.30172159,17374,93
Las Cruces,16,3,22.22222222,22.22222222,0,0,0,2.29,0,66.66666667,-0.362706855,Alto,11.77254948,60766,601
Camino Al Salto,9,3,0,0,0,0,0,1.13,33.33333333,0,-1.350563188,Muy bajo,3.930228085,104369,1902
General Zuazua,9898,2617,4.484975333,17.51734773,0.802445548,0.229621125,0.92095165,1.18,1.110260337,6.687046236,-1.280546333,Bajo,4.486072756,103221,1830
La Gloria Dos,16,3,18.18181818,63.63636364,0,0,0,2.29,0,0,-0.407605177,Alto,11.41611397,63080,653
Cerralvo Dos (La Carrera),12,3,12.5,28.57142857,0,0,0,2,0,0,-0.904289957,Medio,7.473069277,89432,1315
El Rodeo,8,3,0,33.33333333,33.33333333,0,0,2,0,0,-0.81944405,Medio,8.146637734,85063,1161
Paseos del Roble,837,242,0.946969697,7.19844358,0,0,0,1.42,1.239669422,5.785123967,-1.374720175,Muy bajo,3.73845237,104701,1926
Hm (Granja),24,6,0,13.33333333,0,0,0,3.43,0,0,-0.820131811,Medio,8.14117779,85110,1162
Lilego,17,4,0,44.44444444,0,0,0,1.89,0,25,-0.782309818,Alto,8.441436253,83118,1114
Silvia María,37,8,0,20,0,0,0,2.47,0,12.5,-0.940976396,Medio,7.181825667,91177,1375
La Gloria (La Palma),11,3,0,16.66666667,0,0,0,1.57,0,0,-1.295577987,Bajo,4.366740565,103515,1847
Santa Teresita,20,5,0,25,40,0,0,2,0,0,-0.862992362,Medio,7.800919589,87350,1245
Marlan,28,8,0,22.22222222,0,0,12.5,0.82,0,0,-1.405410826,Muy bajo,3.494807681,105042,1945
El Mohíno,16,4,27.27272727,54.54545455,0,25,50,2.29,0,25,0.083351128,Alto,15.31368187,41209,309
El Mezquite,29,8,0,27.27272727,12.5,12.5,25,1.26,12.5,12.5,-0.882950961,Medio,7.642473732,88358,1272
Rubén Platas,17,4,23.07692308,30.76923077,25,0,25,2.13,0,0,-0.488937796,Alto,10.77043654,67357,731
El Mirador de Ciénega de Flores,30,11,0,21.73913043,0,0,9.090909091,0.64,0,0,-1.470364441,Muy bajo,2.979158686,105623,1974
Portal del Norte,157,42,0.854700855,0.900900901,4.761904762,0,9.756097561,0.69,0,2.380952381,-1.607646182,Muy bajo,1.889316471,106595,2024
Fraccionamiento Real Palmas,34636,9102,0.69319153,5.51123293,1.076686443,0.077117991,0.994145587,1.21,0.77570922,3.669523182,-1.458022345,Muy bajo,3.077139212,105528,1968
Los Guajardo,13,3,16.66666667,33.33333333,0,0,33.33333333,1.86,0,0,-0.736076486,Alto,8.808470041,80582,1027
Primero de Marzo,10,3,0,40,33.33333333,0,0,1.67,0,0,-0.843772354,Medio,7.953501984,86345,1208
Villas de Alcalá,5405,1456,0.39192041,5.048911329,1.304945055,0,0,0.95,0.964851826,3.914835165,-1.536979466,Muy bajo,2.450320211,106113,2000
Hacienda San Pedro,3707,1052,0.558419244,3.890362511,1.330798479,0,0.096246391,0.95,0.289855073,2.946768061,-1.556403228,Muy bajo,2.296120277,106243,2007
Poblado Comunal Zuazua,74,24,1.886792453,19.60784314,20.83333333,95.83333333,100,2.85,100,95.83333333,1.413665092,Muy alto,25.87468078,10853,34
Guadalupe,673616,168477,1.884541794,10.27673859,1.895807736,0.065632997,0.742802964,0.88,1.383995213,3.973242639,-1.47633356,Muy bajo,2.931771483,105672,1977
Las Escobas,3930,1034,1.021276596,5.56773345,1.353965184,0.29154519,3.512195122,1.18,1.66015625,3.771760155,-1.443792596,Muy bajo,3.190105298,105396,1961
Bello Amanecer,135,43,0,0,4.651162791,0,0,0.64,0,6.976744186,-1.645139618,Muy bajo,1.591666328,106825,2030
El Ranchito Número Uno,183,56,10.34482759,41.37931034,19.64285714,8.928571429,100,1.61,98.21428571,62.5,0.636365256,Alto,19.70390987,24221,139
Los Sitios (Las Marraneras),104,32,14.70588235,44.11764706,6.25,3.125,100,1.89,75,21.875,0.274478716,Alto,16.83099155,34392,238
Los Herreras,1565,544,5.409836066,32.54637437,4.411764706,0.92936803,3.345724907,0.75,0.559701493,4.411764706,-1.222462119,Bajo,4.947187452,101924,1772
Barretosa,33,16,23.33333333,55.17241379,12.5,6.25,13.33333333,0.8,0,6.25,-0.641918628,Alto,9.555963535,75494,913
Hacienda de Guadalupe (Guadalupe),29,10,15.78947368,47.05882353,10,0,22.22222222,0.72,0,10,-0.840083092,Medio,7.982790027,86139,1196
La Laja (San José de la Laja),65,24,9.090909091,55.55555556,12.5,0,4.347826087,0.69,0,8.333333333,-0.901132826,Medio,7.498132872,89278,1311
San Agustín,100,37,7.865168539,60.91954023,2.702702703,0,5.405405405,0.76,0,2.702702703,-0.931996366,Medio,7.253115664,90751,1359
San Vicente,195,74,3.289473684,38.15789474,4.054054054,0,13.51351351,0.7,0,1.351351351,-1.204639633,Bajo,5.088675299,101415,1752
Los Herreras (Teresa Cortez),9,3,16.66666667,50,0,0,0,1.13,33.33333333,0,-0.648368408,Alto,9.504760494,75891,924
Higueras,1462,400,5.152671756,21.14624506,6.25,1,1.5,1.16,3.25,5,-1.198941645,Bajo,5.133910064,101250,1742
Higueras,26,8,0,23.52941176,0,0,0,1.86,0,12.5,-1.072831861,Bajo,6.135061168,96972,1562
El Puerto,10,3,33.33333333,50,33.33333333,0,33.33333333,1.43,0,33.33333333,-0.085011359,Alto,13.97709811,47995,389
Hualahuises,5687,1598,3.225030084,21.93812324,3.37922403,0.313087038,2.006269593,0.91,0.813516896,4.693366708,-1.321515317,Bajo,4.160831195,103948,1877
